Jahr;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BMW;5177;5280;5223;5324;5492;5717;5877;5924;5960;6061;5676;5457;5673;5866;6055;6274;6419;6676;6936;7133;7177;7360;7463;7521;7716
Daimler/Benz;8132;8330;7876;7932;8031;8254;8728;8858;8859;8563;8722;7932;9237;6710;7570;7967;7885;8253;7836;8154;8553;8902;9191;9446;9865
Opel;8875;9013;8628;8679;8695;8785;8961;9028;8937;8961;7758;7313;7202;7283;7296;7234;7033;6808;6641;6490;6265;5941;5437;5051;4725
Porsche;349;366;365;359;354;366;370;376;398;413;429;430;447;481;499;549;584;637;681;713;740;773;792;809;831
Audi;4635;4658;4661;4754;4805;5040;5131;5105;5158;5237;4939;4755;4897;5024;5034;5133;5328;5411;5450;5568;5591;5537;5544;5403;5381
Volkswagen;21501;21849;21248;21298;21469;21802;22197;21931;21765;21604;19673;18718;18845;19135;19515;19925;20277;20657;20957;21435;21650;21773;21779;21711;22128
Citroen;1314;1318;1251;1221;1195;1235;1278;1365;1360;1381;1459;1434;1539;1565;1615;1623;1618;1617;1643;1622;1666;1638;1595;1547;1583
Peugeot;3212;3364;3366;3253;3201;3357;3424;3414;3494;3545;3545;3545;3722;3860;3915;4014;4041;4112;4110;4023;3894;3746;3601;3370;3248
Renault;3547;3690;3720;3822;3966;4060;4256;4421;4818;4601;4428;4231;4206;4272;4318;4350;4287;4295;4216;4135;4072;4033;4009;3925;3987
Fiat;3292;3535;3511;3557;3542;3600;3666;3598;3509;3422;3138;2955;3009;2992;3057;3038;2938;2888;2847;2746;2680;2532;2325;2201;2167
Alfa Romeo;171;154;137;124;110;96;82;75;67;71;101;88;80;50;44;43;41;42;44;41;41;44;42;41;44
Honda;1201;1266;1216;1206;1189;1239;1266;1242;1246;1278;1265;1210;1210;599;588;622;645;643;618;620;602;560;524;498;497
Suzuki;499;511;473;478;493;502;495;476;462;438;361;328;303;542;544;542;536;546;547;523;534;530;543;555;574
Toyota;3044;3121;3067;3064;3022;2956;2969;2983;2842;2677;3279;3170;3211;3218;3303;3361;3380;3423;3425;3446;3402;3390;3421;3408;3454
Nissan;1595;1610;1543;1600;1618;1661;1673;1669;1523;1412;1271;1091;1000;951;906;831;840;811;806;844;898;967;986;960;954
Mitsubishi;2191;2159;2033;1882;1771;1715;1643;1526;1401;1289;946;842;817;774;757;731;709;671;668;702;725;794;850;895;942
Daihatsu;224;211;206;204;214;232;224;241;238;235;200;180;245;243;243;233;211;192;192;165;158;148;129;117;113
Mazda;1416;1506;1535;1543;1574;1581;1526;1496;1491;1486;1305;1216;1175;1130;1110;1021;965;923;909;917;909;896;898;867;882
Ford;6906;7130;6910;6663;6337;6340;6361;6396;6525;6529;6118;5841;5722;5746;5775;5744;5736;5823;5853;5869;6086;6223;6460;6418;6593
Chrysler;-;-;-;-;-;-;-;-;-;-;-;-;-;3278;3116;3002;2863;2720;2654;2575;2486;2384;2266;2159;2046
Skoda;-;-;-;-;-;-;-;-;-;-;-;-;-;1546;1756;1991;2237;2497;2656;2972;3302;3660;3986;4226;4550
Volvo;-;-;-;-;-;-;-;-;-;-;-;-;-;1303;1336;1374;1394;1374;1388;1339;1380;1291;1326;1320;1323
Seat;-;-;-;-;-;-;-;-;-;-;-;-;-;620;660;696;703;723;778;815;876;938;1044;1145;1273
Dacia;-;-;-;-;-;-;-;-;-;-;-;-;-;299;348;419;474;533;601;670;778;896;975;1033;1085
Kia Motors;-;-;-;-;-;-;-;-;-;-;-;-;-;352;410;492;609;668;724;813;886;1025;1038;1092;1142
Hyundai;-;-;-;-;-;-;-;-;-;-;-;-;-;626;694;757;839;936;1038;1148;1218;1313;1414;1540;1670
Smart (MCC);-;-;-;-;-;-;-;-;-;-;-;-;-;531;519;506;498;470;450;426;398;356;300;277;267
Saab;-;-;-;-;-;-;-;-;-;-;-;-;-;250;251;230;221;218;222;207;205;200;190;178;172
GM Daewoo Chevrolet;-;-;-;-;-;-;-;-;-;-;-;-;-;219;227;210;207;203;192;170;166;159;149;136;133
General Motors;-;-;-;-;-;-;-;-;-;-;-;-;-;205;158;154;128;117;98;97;100;83;78;76;76
Jaguar;-;-;-;-;-;-;-;-;-;-;-;-;-;149;155;159;156;147;159;152;157;156;139;125;122
Land Rover;-;-;-;-;-;-;-;-;-;-;-;-;-;265;251;270;241;220;193;176;185;152;143;142;132
MG;-;-;-;-;-;-;-;-;-;-;-;-;-;52;54;52;49;48;46;42;38;36;34;33;30
Lancia;-;-;-;-;-;-;-;-;-;-;-;-;-;26;24;24;25;22;22;23;23;23;24;25;27
sonstige Kfz;5823;5927;5882;6216;6437;6839;7238;7486;8017;8916;11540;12276;7372;1683;1610;1573;1594;1570;1585;1695;2015;2430;3088;3501;4004